Group_ID,Site,Text,URL
7,overstock,Filing & Storage,http://www.overstock.com/Office-Supplies/Filing-Storage/181/dept.html
7,walmart,Storage & Organization,http://www.walmart.com/cp/home-storage-organization/90828?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_StorageOrganization
7,walmart,Garage Storage,http://www.walmart.com/browse/home-improvement/garage-storage/1072864_1067618_656639/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_GarageStorage
7,walmart,Jewelry Storage,http://www.walmart.com/browse/jewelry/jewelry-storage/3891_132987?browsein=true&ic=48_0&povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Jewelry_JewelryStorage
7,wayfair,Kitchen Storage & Organization,http://www.wayfair.com/Kitchen-Storage-and-Organization-C246761.html
7,wayfair,Storage & Organization,http://www.wayfair.com/Storage-and-Organization-C215875.html
7,bestbuy,Vacuum Cleaners & Floor Care,http://www.bestbuy.com/site/Home-Appliances/Vacuums-Floor-Care/abcat0911000.c?id=abcat0911000
8,bjs,Wine Cellars & Storage,http://www.bjs.com/home/wine-cellars--storage.category.742.385.2003408.1
8,wayfair,Bar & Wine,http://www.wayfair.com/Bar-and-Wine-C419672.html
8,bestbuy,"TV Stands, Mounts & Storage",http://www.bestbuy.com/site/TV-Video/Stands-Mounts-Storage/abcat0106000.c?id=abcat0106000
8,bestbuy,Audio Stands & Storage,http://www.bestbuy.com/site/Audio/Audio-Stands-Storage/pcmcat253300050003.c?id=pcmcat253300050003
8,bjs,"Memory, Storage & Drives",http://www.bjs.com/computers/memory-storage--drives.category.773.743.2000965.1
8,bjs,"Vacuums, Storage & Laundry",http://www.bjs.com/home/vacuums-storage--laundry.category.730.385.2001372.1
8,bjs,Storage & Organization,http://www.bjs.com/seasonal/storage--organization.category.731.28511.2006365.1
8,bjs,Sheds and Storage,http://www.bjs.com/seasonal/sheds-and-storage.category.3000000000000001009.28511.2003739.1
8,overstock,Filing & Storage,http://www.overstock.com/Office-Supplies/Filing-Storage/181/dept.html
8,walmart,Storage & Organization,http://www.walmart.com/cp/home-storage-organization/90828?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_StorageOrganization
8,walmart,Garage Storage,http://www.walmart.com/browse/home-improvement/garage-storage/1072864_1067618_656639/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_GarageStorage
8,walmart,Jewelry Storage,http://www.walmart.com/browse/jewelry/jewelry-storage/3891_132987?browsein=true&ic=48_0&povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Jewelry_JewelryStorage
8,wayfair,Kitchen Storage & Organization,http://www.wayfair.com/Kitchen-Storage-and-Organization-C246761.html
8,wayfair,Bathroom & Laundry Storage,http://www.wayfair.com/Bathroom-and-Laundry-Storage-C215892.html
8,wayfair,Storage & Organization,http://www.wayfair.com/Storage-and-Organization-C215875.html
9,bestbuy,Live Sound & Microphones,http://www.bestbuy.com/site/Musical-Instruments/Live-Sound/pcmcat152100050035.c?id=pcmcat152100050035
9,bestbuy,Outdoor Living,http://www.bestbuy.com/site/Home/Outdoor-Living/pcmcat179100050006.c?id=pcmcat179100050006
9,bjs,Outdoor Living,http://www.bjs.com/home/outdoor-living.category.521.385.2000198.1
9,walmart,Living Room,http://www.walmart.com/cp/Living-Room-Furniture/4038?povid=cat121828-env999999-moduleA072012-lLinkGNAV2_Furniture_LivingRoom
9,wayfair,Living Room Furniture,http://www.wayfair.com/Living-Room-Furniture-C45982.html
9,bestbuy,Sound Bars,http://www.bestbuy.com/site/Home-Theater-Systems/Sound-Bars/abcat0205007.c?id=abcat0205007
10,bestbuy,Sports & Outdoor Recreation,http://www.bestbuy.com/site/Health-Fitness/Sports-Outdoor-Recreation/pcmcat273800050017.c?id=pcmcat273800050017
10,bestbuy,Outdoor Play,http://www.bestbuy.com/site/Toys-Games/Outdoor-Toys-Games/pcmcat250300050003.c?id=pcmcat250300050003
10,bestbuy,Outdoor Living,http://www.bestbuy.com/site/Home/Outdoor-Living/pcmcat179100050006.c?id=pcmcat179100050006
10,bjs,Outdoor Living,http://www.bjs.com/home/outdoor-living.category.521.385.2000198.1
10,bjs,Awnings & Outdoor Shading,http://www.bjs.com/seasonal/awnings--outdoor-shading.category.29510.28511.2003635.1
10,bjs,Outdoor Party,http://www.bjs.com/seasonal/outdoor-party.category.3000000000000032003.28511.2005569.1
10,bjs,Bouncers & Outdoor Play,http://www.bjs.com/toys/bouncers--outdoor-play.category.129003.808.2001769.1
10,overstock,Outdoors,http://www.overstock.com/Sports-Toys/Outdoors/219/dept.html
10,overstock,Sports & Outdoors,http://www.overstock.com/As-Seen-on-TV/Sports-Outdoors/433/dept.html
10,walmart,Outdoor Power Equipment,http://www.walmart.com/cp/1102182?povid=cat121828-env999999-moduleA020813-lLinkGNAV3_HomeImprovement_OutdoorPowerEquipment
10,walmart,Grills & Outdoor Cooking,http://www.walmart.com/cp/Grills-Outdoor-Cooking/4089?povid=cat121828-env999999-moduleA072012-lLinkGNAV4_PatioGarden_GrillsOutdoorCooking
10,walmart,Outdoor Play,http://www.walmart.com/cp/14521?povid=cat121828-env999999-module020813-lLinkGNAV4_PatioGarden_OutdoorPlay
10,walmart,Patio & Outdoor Decor,http://www.walmart.com/cp/1102183?povid=cat121828-env999999-moduleA020813-lLinkGNAV4_PatioGarden_PatioGarden
10,walmart,Outdoors & Recreation,http://www.walmart.com/cp/Outdoor-Play/546956?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors_OutdoorsRecreation
10,wayfair,Outdoor Lighting,http://www.wayfair.com/Outdoor-Lighting-C45346.html
10,wayfair,Outdoor Cooking,http://www.wayfair.com/Outdoor-Cooking-C215946.html
10,wayfair,Outdoor D�cor,http://www.wayfair.com/Outdoor-D%C3%A9cor-C215436.html
10,wayfair,Outdoor Games & Play,http://www.wayfair.com/Outdoor-Games-and-Play-C216137.html
10,wayfair,Outdoor Heating,http://www.wayfair.com/Outdoor-Heating-C215961.html
10,wayfair,Outdoor Recreation,http://www.wayfair.com/Outdoor-Recreation-C216001.html
10,bestbuy,Live Sound & Microphones,http://www.bestbuy.com/site/Musical-Instruments/Live-Sound/pcmcat152100050035.c?id=pcmcat152100050035
10,walmart,Living Room,http://www.walmart.com/cp/Living-Room-Furniture/4038?povid=cat121828-env999999-moduleA072012-lLinkGNAV2_Furniture_LivingRoom
10,wayfair,Living Room Furniture,http://www.wayfair.com/Living-Room-Furniture-C45982.html
10,bestbuy,Sound Bars,http://www.bestbuy.com/site/Home-Theater-Systems/Sound-Bars/abcat0205007.c?id=abcat0205007
10,wayfair,Bar Furniture,http://www.wayfair.com/Bar-Furniture-C531616.html
10,wayfair,Bar & Wine,http://www.wayfair.com/Bar-and-Wine-C419672.html
10,bjs,Wine Cellars & Storage,http://www.bjs.com/home/wine-cellars--storage.category.742.385.2003408.1
10,bestbuy,"TV Stands, Mounts & Storage",http://www.bestbuy.com/site/TV-Video/Stands-Mounts-Storage/abcat0106000.c?id=abcat0106000
10,bestbuy,Audio Stands & Storage,http://www.bestbuy.com/site/Audio/Audio-Stands-Storage/pcmcat253300050003.c?id=pcmcat253300050003
10,bjs,"Memory, Storage & Drives",http://www.bjs.com/computers/memory-storage--drives.category.773.743.2000965.1
10,bjs,"Vacuums, Storage & Laundry",http://www.bjs.com/home/vacuums-storage--laundry.category.730.385.2001372.1
10,bjs,Storage & Organization,http://www.bjs.com/seasonal/storage--organization.category.731.28511.2006365.1
10,bjs,Sheds and Storage,http://www.bjs.com/seasonal/sheds-and-storage.category.3000000000000001009.28511.2003739.1
